tahun,wilayah,cluster,cluster_label
2025,Banyumanik,0,Rank_4
2025,Candisari,0,Rank_4
2025,Gajah Mungkur,0,Rank_4
2025,Gayamsari,0,Rank_4
2025,Genuk,0,Rank_4
2025,Gunungpati,0,Rank_4
2025,Mijen,0,Rank_4
2025,Ngaliyan,1,Rank_2
2025,Pedurungan,1,Rank_2
2025,Semarang Barat,0,Rank_4
2025,Semarang Selatan,0,Rank_4
2025,Semarang Tengah,0,Rank_4
2025,Semarang Timur,3,Rank_3
2025,Semarang Utara,0,Rank_4
2025,Tembalang,1,Rank_2
2025,Tugu,0,Rank_4
2024,Banyumanik,1,Rank_2
2024,Candisari,3,Rank_3
2024,Gajah Mungkur,0,Rank_4
2024,Gayamsari,3,Rank_3
2024,Genuk,3,Rank_3
2024,Gunungpati,0,Rank_4
2024,Mijen,0,Rank_4
2024,Ngaliyan,1,Rank_2
2024,Pedurungan,1,Rank_2
2024,Semarang Barat,3,Rank_3
2024,Semarang Selatan,3,Rank_3
2024,Semarang Tengah,0,Rank_4
2024,Semarang Timur,3,Rank_3
2024,Semarang Utara,3,Rank_3
2024,Tembalang,1,Rank_2
2024,Tugu,0,Rank_4
2023,Banyumanik,1,Rank_2
2023,Candisari,3,Rank_3
2023,Gajah Mungkur,0,Rank_4
2023,Gayamsari,3,Rank_3
2023,Genuk,3,Rank_3
2023,Gunungpati,0,Rank_4
2023,Mijen,0,Rank_4
2023,Ngaliyan,1,Rank_2
2023,Pedurungan,1,Rank_2
2023,Semarang Barat,3,Rank_3
2023,Semarang Selatan,3,Rank_3
2023,Semarang Tengah,0,Rank_4
2023,Semarang Timur,3,Rank_3
2023,Semarang Utara,3,Rank_3
2023,Tembalang,1,Rank_2
2023,Tugu,0,Rank_4
2022,Banyumanik,2,Rank_1
2022,Candisari,1,Rank_2
2022,Gajah Mungkur,3,Rank_3
2022,Gayamsari,3,Rank_3
2022,Genuk,1,Rank_2
2022,Gunungpati,2,Rank_1
2022,Mijen,2,Rank_1
2022,Ngaliyan,2,Rank_1
2022,Pedurungan,1,Rank_2
2022,Semarang Barat,2,Rank_1
2022,Semarang Selatan,0,Rank_4
2022,Semarang Tengah,3,Rank_3
2022,Semarang Timur,3,Rank_3
2022,Semarang Utara,2,Rank_1
2022,Tembalang,1,Rank_2
2022,Tugu,2,Rank_1
2021,Banyumanik,1,Rank_2
2021,Candisari,0,Rank_4
2021,Gajah Mungkur,0,Rank_4
2021,Gayamsari,0,Rank_4
2021,Genuk,0,Rank_4
2021,Gunungpati,0,Rank_4
2021,Mijen,0,Rank_4
2021,Ngaliyan,2,Rank_1
2021,Pedurungan,1,Rank_2
2021,Semarang Barat,0,Rank_4
2021,Semarang Selatan,0,Rank_4
2021,Semarang Tengah,3,Rank_3
2021,Semarang Timur,0,Rank_4
2021,Semarang Utara,0,Rank_4
2021,Tembalang,1,Rank_2
2021,Tugu,0,Rank_4
2020,Banyumanik,0,Rank_4
2020,Candisari,3,Rank_3
2020,Gajah Mungkur,0,Rank_4
2020,Gayamsari,0,Rank_4
2020,Genuk,0,Rank_4
2020,Gunungpati,0,Rank_4
2020,Mijen,3,Rank_3
2020,Ngaliyan,0,Rank_4
2020,Pedurungan,1,Rank_2
2020,Semarang Barat,1,Rank_2
2020,Semarang Selatan,3,Rank_3
2020,Semarang Tengah,0,Rank_4
2020,Semarang Timur,0,Rank_4
2020,Semarang Utara,0,Rank_4
2020,Tembalang,1,Rank_2
2020,Tugu,0,Rank_4
