wilayah,penduduk,total_kasus,total_meninggal,ir_total,cfr,tahun,cluster,pc1,pc2,cluster_label
Banyumanik,139846.0,29.0,0.0,20.74,0.0,2025,0,-0.3785808353057465,-1.1642196899865802,Rank_4
Candisari,80625.0,16.0,0.0,19.84,0.0,2025,0,-1.1736320714920074,-0.3029499469831842,Rank_4
Gajah Mungkur,60243.0,12.0,0.0,19.92,0.0,2025,0,-1.423255637221353,-0.01454962843786305,Rank_4
Gayamsari,74109.0,15.0,0.0,20.24,0.0,2025,0,-1.2347788673453506,-0.21576723984759785,Rank_4
Genuk,114303.0,27.0,0.0,23.62,0.0,2025,0,-0.5293888564872824,-0.8543879780818494,Rank_4
Gunungpati,94065.0,10.0,0.0,10.63,0.0,2025,0,-1.5106756075107814,-0.34273931213533615,Rank_4
Mijen,73728.0,23.0,0.0,31.2,0.0,2025,0,-0.695521669439987,-0.3559320549144825,Rank_4
Ngaliyan,138525.0,37.0,1.0,26.71,2.7,2025,1,0.5788779920559863,-0.5410784317298336,Rank_2
Pedurungan,192653.0,36.0,2.0,18.69,5.56,2025,1,1.2991247093484823,-0.34467627871373424,Rank_2
Semarang Barat,159222.0,22.0,0.0,13.82,0.0,2025,0,-0.6245875561581594,-1.259864772147098,Rank_4
Semarang Selatan,69530.0,10.0,0.0,14.38,0.0,2025,0,-1.5768808092399633,-0.07639763132350079,Rank_4
Semarang Tengah,61288.0,7.0,0.0,11.42,0.0,2025,0,-1.8058410880293048,0.06745965521487758,Rank_4
Semarang Timur,73546.0,11.0,1.0,14.96,9.09,2025,3,-0.5238624616477668,1.677011242990224,Rank_3
Semarang Utara,126148.0,17.0,0.0,13.48,0.0,2025,0,-1.0071681393000993,-0.8135803304911472,Rank_4
Tembalang,178914.0,43.0,2.0,24.03,4.65,2025,1,1.4811041479609746,-0.4614314730288345,Rank_2
Tugu,33634.0,8.0,0.0,23.79,0.0,2025,0,-1.6009527245964927,0.33556363904275216,Rank_4
Banyumanik,139846.0,34.0,1.0,24.31,2.94,2024,1,0.45389758611822884,-0.46495296126342694,Rank_2
Candisari,80625.0,13.0,1.0,16.12,7.69,2024,3,-0.4721552372758825,1.3301734408620358,Rank_3
Gajah Mungkur,60243.0,4.0,0.0,6.64,0.0,2024,0,-2.03788934483138,0.13468213464230225,Rank_4
Gayamsari,74109.0,20.0,1.0,26.99,5.0,2024,3,-0.17435508456108192,0.8225717324607643,Rank_3
Genuk,114303.0,39.0,2.0,34.12,5.13,2024,3,1.2436812370588228,0.3809054848245116,Rank_3
Gunungpati,94065.0,12.0,0.0,12.76,0.0,2024,0,-1.3942190084702806,-0.3775799354004152,Rank_4
Mijen,73728.0,21.0,0.0,28.48,0.0,2024,0,-0.8304228722103897,-0.31986813977719525,Rank_4
Ngaliyan,138525.0,38.0,0.0,27.43,0.0,2024,1,0.045093693791360676,-1.300241222540714,Rank_2
Pedurungan,192653.0,60.0,2.0,31.14,3.33,2024,1,2.147619461316897,-1.1097731775027613,Rank_2
Semarang Barat,159222.0,27.0,2.0,16.96,7.41,2024,3,0.8861131343191129,0.4797552223941237,Rank_3
Semarang Selatan,69530.0,9.0,1.0,12.94,11.11,2024,3,-0.5408698703223068,2.095446108246857,Rank_3
Semarang Tengah,61288.0,5.0,0.0,8.16,0.0,2024,0,-1.957623792518601,0.10464319342164348,Rank_4
Semarang Timur,73546.0,31.0,1.0,42.15,3.23,2024,3,0.4592068726072445,0.33309171105197494,Rank_3
Semarang Utara,126148.0,33.0,3.0,26.16,9.09,2024,3,1.5936340077040707,1.3102288214583482,Rank_3
Tembalang,178914.0,53.0,2.0,29.62,3.77,2024,1,1.8502943144819628,-0.7728062724918623,Rank_2
Tugu,33634.0,5.0,0.0,14.87,0.0,2024,0,-1.9546128034177346,0.3996946518528994,Rank_4
